compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
112809-51-5,285.101445352,2.65916,78.29,0,5,0,3,3,3,22,0.058823529411764705,0,0.7407442417149674
112885-42-4,422.1641240120899,1.6737,78.02,3,4,1,7,3,2,29,0.38095238095238093,1,0.593107429503337
113-59-7,316.09212470809,3.770900000000002,4.44,1,1,1,3,3,2,21,0.2222222222222222,0,0.7704134470229285
113-92-8,275.13095274009,2.4015000000000004,17.330000000000002,1,1,1,5,2,2,19,0.3125,0,0.8869527929991254
113852-37-2,277.04746889382005,-2.925799999999999,153.56,2,9,-2,6,1,1,18,0.5,1,0.5237483929827751
115256-11-6,442.14648941608993,0.5658000000000025,106.00999999999999,3,5,1,11,2,2,29,0.3684210526315789,0,0.4717304836678942
1156-19-0,310.12308607990997,2.558020000000001,80.58,1,4,-1,3,2,1,21,0.5,0,0.9300469389911951
117-37-3,251.07136779191,2.1201,49.36,0,3,-1,2,3,2,19,0.0625,0,0.8210379974881952
118072-93-8,269.98177101582,-3.5922999999999985,162.85,2,7,-2,4,1,1,16,0.4,1,0.5334960302161211
119413-54-6,422.17104728809,0.4297000000000003,106.09,3,7,1,3,5,3,31,0.34782608695652173,1,0.41369371542515115
