compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
120202-66-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9912,0.9793,0.7978,0.7337,0.7386,0.9487
120511-73-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3731,0.3616,0.3351,0.255,0.226,0.2437
122111-03-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9674,0.999,0.9888,0.9172,0.5354,0.7749
122320-73-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1553,0.0087,0.2033,0.3764,0.2945,0.37
122647-32-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2728,0.5849,0.0598,0.3258,0.0367,0.2924
122883-93-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.9802,0.963,0.9129,0.9979,0.5099
1247-42-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9142,0.8701,0.834,0.9588,0.9903,0.9939
124750-99-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5917,0.6597,0.8902,0.8814,0.504,0.2347
124937-52-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9304,0.5375,0.889,0.8831,0.5434,0.135
125-84-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8662,0.8941,0.9309,0.7686,0.6856,0.5262
1263-89-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2459,0.1046,0.547,0.7347,0.0462,0.1013
1264-62-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8964,0.4412,0.6643,0.3411,0.0074,0.1204
127-07-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8832,0.4263,0.2348,0.289,0.4768,0.2696
127-56-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5645,0.8777,0.9031,0.7113,0.1006,0.9644
127-79-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2729,0.1315,0.237,0.4598,0.5564,0.7539
128794-94-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8742,0.9605,0.8593,0.6174,0.2796,0.2509
129101-54-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4619,0.3485,0.6972,0.6646,0.9451,0.3667
129497-78-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7192,0.8548,0.8223,0.9842,0.066,0.8648
129722-12-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8312,0.9949,0.9471,0.6105,0.6869,0.6316
130-61-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7792,0.6255,0.2857,0.2365,0.208,0.0033
13010-47-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1901,0.3829,0.8433,0.748,0.7257,0.555
132-17-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6862,0.1278,0.6605,0.4639,0.1176,0.6752
132-18-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6652,0.5714,0.2229,0.2194,0.4616,0.1772
132539-06-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1297,0.1419,0.2692,0.2893,0.093,0.5038
13292-46-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9028,0.0804,0.2854,0.0857,0.0259,0.1358
133-67-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.7776,0.6597,0.5126,0.0779,0.3082
133099-07-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8952,0.8532,0.8497,0.8276,0.3967,0.7734
133454-47-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8548,0.7641,0.985,0.9987,0.8313,0.1948
134308-13-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4586,0.2855,0.3408,0.464,0.0979,0.1769
134523-03-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.1873,0.9676,0.7999,0.9553,0.9921
135729-62-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2306,0.3697,0.1582,0.1887,0.3583,0.3946
136-40-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3828,0.28,0.415,0.221,0.9582,0.9012
136572-09-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9817,0.8369,0.0236,0.2995,0.1975,0.4165
137-58-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9294,0.8615,0.3675,0.5278,0.0964,0.2828
137071-32-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9777,0.737,0.1923,0.106,0.0417,0.0699
138402-11-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8167,0.7979,0.3961,0.9014,0.6839,0.3091
138530-94-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5134,0.9453,0.9161,0.7292,0.2885,0.7932
138926-19-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6209,0.6368,0.1707,0.5295,0.7409,0.9239
139110-80-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6424,0.7746,0.6955,0.5794,0.4001,0.9765
140462-76-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.9965,0.0936,0.3094,0.9585,0.1022
141-90-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9951,0.9046,0.1302,0.2886,0.6208,0.0998
141505-33-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.6129,0.7038,0.711,0.9732,0.9983
141625-93-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9788,0.8704,0.9458,0.7562,0.6856,0.9288
142340-99-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3251,0.435,0.1215,0.2927,0.0967,0.2829
144-82-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6414,0.7646,0.9097,0.9586,0.3635,0.5015
144060-53-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2864,0.0186,0.3821,0.4579,0.9217,0.7453
144689-63-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8633,0.9134,0.8564,0.6725,0.6395,0.6954
144701-48-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9037,0.6275,0.3443,0.5749,0.2778,0.4897
145040-37-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2186,0.353,0.0271,0.0994,0.0563,0.1604
145108-58-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1249,0.0753,0.3701,0.1442,0.1177,0.2993
146464-95-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0914,0.0751,0.8889,0.2812,0.2974,0.0111
147-94-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8251,0.7224,0.3927,0.6618,0.3083,0.9725
147127-20-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6896,0.5145,0.0716,0.1769,0.2807,0.0656
147403-03-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9821,0.9902,0.999,0.9607,0.5002,0.8064
1476-53-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.8761,0.4867,0.3728,0.439,0.1744
148-79-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9872,0.6954,0.8855,0.8793,0.382,0.0205
148849-67-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7925,0.9391,0.5912,0.6924,0.156,0.0807
149647-78-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8228,0.7366,0.468,0.6071,0.4551,0.1678
150-76-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6006,0.19,0.0967,0.2329,0.7611,0.8728
150322-43-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1797,0.2701,0.664,0.2553,0.2925,0.543
150399-23-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5502,0.942,0.5722,0.788,0.269,0.75
150683-30-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.1634,0.5985,0.7092,0.5264,0.9214
1508-65-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2753,0.8372,0.336,0.1464,0.8097,0.3201
1508-75-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3013,0.5277,0.2557,0.1765,0.1219,0.3461
1508-76-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5877,0.3249,0.3165,0.4111,0.4149,0.9226
152-62-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6826,0.8295,0.6451,0.729,0.3777,0.9092
152520-56-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.9291,0.9946,0.95,0.9901,0.758
15307-81-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5125,0.5383,0.269,0.4102,0.6406,0.2451
153559-49-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.2419,0.0647,0.2683,0.3459,0.4623
154229-19-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7412,0.95,0.4683,0.4698,0.8872,0.675
154361-50-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.944,0.8514,0.8884,0.3813,0.9372,0.8576
155-41-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9936,0.9818,0.8583,0.9812,0.8785,0.591
155206-00-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9762,0.6541,0.4043,0.5103,0.969,0.52
155213-67-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.2001,0.7164,0.3222,0.0217,0.2732
156-57-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1096,0.173,0.058,0.0472,0.2359,0.3346
15686-71-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6346,0.1947,0.1949,0.4539,0.3278,0.03
159811-51-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4013,0.8614,0.6109,0.7049,0.9694,0.9597
160970-54-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9562,0.9699,0.8977,0.9627,0.4924,0.1093
161735-79-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5931,0.4543,0.8863,0.802,0.1589,0.0714
161814-49-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3368,0.5348,0.0905,0.5849,0.6812,0.3094
162011-90-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1884,0.004,0.4105,0.6162,0.7896,0.8578
162401-32-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9587,0.976,0.7912,0.9565,0.3208,0.0686
163222-33-1,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3371,0.4082,0.1578,0.2688,0.2047,0.3686
164656-23-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3871,0.7288,0.4015,0.1964,0.8321,0.057
165800-03-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6398,0.4027,0.0427,0.015,0.1505,0.0492
169590-42-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.1395,0.1127,0.252,0.9047,0.9949
170729-80-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9862,0.8994,0.9658,0.7476,0.6806,0.516
171599-83-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4201,0.5594,0.8474,0.5243,0.1272,0.2419
17321-77-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9309,0.996,0.9983,0.9926,0.162,0.7237
1744-22-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6071,0.1051,0.0818,0.401,0.3543,0.7096
175865-59-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.5727,0.3862,0.8418,0.2725,0.8535
179324-69-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,0.0872,0.9567,0.9906,0.4966,0.4439
179463-17-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4443,0.444,0.0472,0.4481,0.7007,0.0768
18010-40-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8738,0.7458,0.2515,0.7356,0.1046,0.5945
183133-96-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2156,0.2027,0.6742,0.2654,0.269,0.3789
186826-86-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2583,0.4217,0.0743,0.3598,0.7887,0.613
188062-50-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6181,0.9293,0.5646,0.7812,0.6561,0.7089
190786-44-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8419,0.3514,0.6975,0.2613,0.7671,0.8783
19171-19-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.2117,0.0516,0.0798,0.8487,0.3516
19356-17-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3991,0.0961,0.7991,0.8828,0.849,0.6983
19387-91-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6723,0.3914,0.8505,0.883,0.671,0.825
