compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr
113-59-7,furin,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,0.8527,0.6802,0.1084,0.0802,0.4012,0.0334
56296-78-7,furin,C[NH2+]CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.0707,0.5449,0.2158,0.469,0.8255,0.8721
50357-45-4,furin,NC(=[NH2+])c1ccc(OCCCCCOc2ccc(C(N)=[NH2+])cc2)cc1,0.7468,0.9224,0.9414,0.8524,0.8968,0.5685
122883-93-6,furin,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.4761,0.2868,0.5028,0.8996,0.1551,0.3896
668270-12-0,furin,CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.879,0.9173,0.7454,0.7654,0.8932,0.3619
34183-22-7,furin,CCC[NH2+]C[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,0.999,0.9933,0.9453,0.9191,0.2044,0.1195
32986-56-4,furin,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,0.1438,0.677,0.912,0.6334,0.0076,0.011
179324-69-7,furin,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.9398,0.8487,0.6,0.7617,0.1186,0.0795
2030-63-9,furin,CC(C)/[NH+]=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0.5661,0.5676,0.5984,0.7629,0.1494,0.5275
155213-67-5,furin,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.3866,0.6623,0.6106,0.8133,0.9504,0.3238
163222-33-1,furin,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0.9722,0.9482,0.9964,0.9949,0.3123,0.4931
132539-06-1,furin,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1,0.8609,0.7583,0.0569,0.0241,0.3721,0.1271
32672-69-8,furin,C[N@H+]1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,0.6791,0.7578,0.7635,0.712,0.6388,0.0863
229975-97-7,furin,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,0.91,0.8014,0.9447,0.863,0.4281,0.2896
79559-97-0,furin,C[NH2+][C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.7826,0.8445,0.682,0.8572,0.5153,0.8826
274693-27-5,furin,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0.7896,0.7461,0.1733,0.1487,0.4733,0.8426
65277-42-1,furin,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cc[nH+]c4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.992,0.7328,0.5922,0.5254,0.7514,0.7083
65473-14-5,furin,C[N@@H+](CC=Cc1ccccc1)Cc1cccc2ccccc12,0.1937,0.6441,0.7002,0.2167,0.8487,0.7165
175865-59-5,furin,CC(C)[C@H]([NH3+])C(=O)OC[C@@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,0.9479,0.909,0.5306,0.3603,0.5429,0.1229
148849-67-6,furin,COc1cc2c(cc1OC)CC(=O)N(CCC[N@@H+](C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,0.99,0.9807,0.9123,0.9355,0.2417,0.1385
192725-17-0,furin,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,0.8117,0.1138,0.5797,0.6347,0.4375,0.3424
63-45-6,furin,COc1cc(N[C@@H](C)CCC[NH3+])c2ncccc2c1,0.9042,0.8437,0.7303,0.8513,0.8986,0.5036
443913-73-3,furin,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CC[N@H+](C)CC1,0.302,0.7606,0.6984,0.353,0.6018,0.5278
61-76-7,furin,C[NH2+]C[C@@H](O)c1cccc(O)c1,0.6653,0.6959,0.0711,0.3155,0.2399,0.2793
440-17-5,furin,CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.7409,0.2394,0.2387,0.2363,0.438,0.2239
184475-35-2,furin,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1,0.9783,0.9155,0.6607,0.9556,0.3534,0.8868
23256-50-0,furin,NC(=[NH2+])N/N=C/c1c(Cl)cccc1Cl,0.1332,0.1782,0.3484,0.1545,0.846,0.9647
58-27-5,furin,CC1=CC(=O)c2ccccc2C1=O,0.6889,0.9507,0.7449,0.8855,0.8687,0.281
