compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr
49562-28-9,furin,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,0.9227,0.8438,0.5336,0.0492,0.0167,0.0382
51-52-5,furin,CCCc1cc(=O)[nH]c(=S)[nH]1,0.2871,0.1255,0.6819,0.9703,0.9286,0.6358
315-30-0,furin,O=c1[nH]cnc2[nH]ncc12,0.8966,0.8482,0.7307,0.8322,0.501,0.8647
1405-10-3,furin,N[C@H]1[C@@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)O[C@@H](C[NH3+])[C@@H](O)[C@@H]1O,0.8675,0.6227,0.2032,0.1587,0.1039,0.4749
58-14-0,furin,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.8907,0.7728,0.1798,0.1447,0.4863,0.2423
19237-84-4,furin,COc1cc2[nH+]c(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0.1846,0.2161,0.4887,0.7409,0.4232,0.4061
23288-49-5,furin,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.8889,0.9787,0.622,0.9916,0.2352,0.0714
147-94-4,furin,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.7432,0.9016,0.9505,0.9308,0.7822,0.1953
65-29-2,furin,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0.8716,0.6525,0.0598,0.1205,0.1066,0.0145
24356-60-3,furin,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0.9945,0.9985,0.1803,0.7344,0.3811,0.2144
186826-86-8,furin,COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,0.4658,0.4617,0.2467,0.4626,0.8468,0.2659
101-26-8,furin,CN(C)C(=O)Oc1ccc[n+](C)c1,0.9801,0.9506,0.6434,0.9844,0.912,0.0977
15687-27-1,furin,CC(C)Cc1ccc([C@H](C)C(=O)[O-])cc1,0.0524,0.1513,0.3087,0.7706,0.5919,0.484
286930-03-8,furin,CC(C)C(=O)Oc1ccc(CO)cc1[C@@H](CC[NH+](C(C)C)C(C)C)c1ccccc1,0.3702,0.4496,0.815,0.8615,0.505,0.1642
3424-98-4,furin,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,0.6843,0.8859,0.4694,0.2389,0.7234,0.6596
14976-57-9,furin,C[N@H+]1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,0.5343,0.8598,0.1068,0.3897,0.8524,0.7826
160970-54-7,furin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)[NH2+]CCOc1ccccc1OCC(F)(F)F,0.3025,0.7397,0.3605,0.5948,0.878,0.7583
3543-75-7,furin,Cn1c(CCCC(=O)[O-])nc2cc(N(CCCl)CCCl)ccc21,0.1556,0.6599,0.4049,0.6018,0.0977,0.7856
144060-53-7,furin,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-],0.7421,0.8636,0.7535,0.7224,0.0542,0.2051
95233-18-4,furin,O=C1C([O-])=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0.1373,0.74,0.9908,0.999,0.7148,0.3838
91374-20-8,furin,CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2,0.496,0.2114,0.395,0.6753,0.8266,0.4816
58186-27-9,furin,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,0.9964,0.9877,0.8007,0.8803,0.1693,0.3141
17321-77-6,furin,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.7879,0.7967,0.0125,0.0406,0.4029,0.7678
117-37-3,furin,COc1ccc(C2=C([O-])c3ccccc3C2=O)cc1,0.5797,0.6015,0.428,0.8534,0.6197,0.9908
62571-86-2,furin,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)[O-],0.9746,0.9984,0.9964,0.9499,0.8246,0.8358
41340-25-4,furin,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)[O-])OCC3,0.8643,0.7295,0.5875,0.8269,0.1793,0.0213
302962-49-8,furin,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1,0.2434,0.9541,0.5696,0.3222,0.3851,0.4945
63-74-1,furin,Nc1ccc(S(N)(=O)=O)cc1,0.9285,0.9489,0.9599,0.9662,0.4393,0.1538
2508-72-7,furin,c1ccc(CN(CC2=[NH+]CCN2)c2ccccc2)cc1,0.9348,0.4082,0.2089,0.2724,0.935,0.6239
85371-64-8,furin,C[C@@H](N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,0.9272,0.9223,0.978,0.9931,0.0887,0.0595
58-56-0,furin,Cc1[nH+]cc(CO)c(CO)c1[O-],0.8253,0.5491,0.9366,0.8072,0.2445,0.7752
115256-11-6,furin,C[N@H+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0.8918,0.8629,0.2272,0.7576,0.2041,0.2216
188062-50-2,furin,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0.2529,0.3198,0.3715,0.6433,0.9047,0.976
40828-46-4,furin,C[C@H](C(=O)[O-])c1ccc(C(=O)c2cccs2)cc1,0.5704,0.5828,0.9526,0.9805,0.2765,0.3982
139110-80-8,furin,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1NC(N)=[NH2+],0.8081,0.535,0.9577,0.847,0.9777,0.425
375815-87-5,furin,c1cnc2cc3c(cc2n1)[C@@H]1C[NH2+]C[C@H]3C1,0.011,0.1164,0.1075,0.0498,0.7154,0.01
56211-40-6,furin,Cc1cccc(Nc2cc[nH+]cc2S(=O)(=O)[N-]C(=O)NC(C)C)c1,0.8467,0.9558,0.4327,0.3065,0.43,0.2026
58-96-8,furin,O=c1ccn([C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)c(=O)[nH]1,0.8071,0.9287,0.8394,0.9132,0.1975,0.5417
3366-95-8,furin,Cc1ncc([N+](=O)[O-])n1C[C@H](C)O,0.2529,0.5449,0.2179,0.5105,0.1213,0.1063
211914-51-1,furin,Cn1c(CNc2ccc(C(N)=[NH2+])cc2)nc2cc(C(=O)N(CCC(=O)[O-])c3ccccn3)ccc21,0.1228,0.2538,0.6525,0.1539,0.4421,0.4834
150322-43-3,furin,CC(=O)Oc1cc2c(s1)CC[N@H+]([C@@H](C(=O)C1CC1)c1ccccc1F)C2,0.7459,0.8305,0.834,0.7372,0.2967,0.6747
1744-22-5,furin,Nc1nc2ccc(OC(F)(F)F)cc2s1,0.8903,0.8646,0.5613,0.7229,0.7918,0.5802
23239-51-2,furin,C[C@H]([NH2+]CCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,0.9746,0.8582,0.8576,0.8504,0.5839,0.1261
21679-14-1,furin,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.9725,0.8855,0.5478,0.5432,0.1199,0.4823
105816-04-4,furin,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)[O-])CC1,0.9963,0.991,0.9945,0.9628,0.5639,0.3723
57248-88-1,furin,[NH3+]CC[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O,0.9932,0.9712,0.883,0.906,0.1065,0.6466
39133-31-8,furin,CC[C@@](COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)[NH+](C)C,0.9192,0.911,0.9191,0.8574,0.0268,0.0059
135062-02-1,furin,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-],0.9338,0.862,0.1281,0.2887,0.2279,0.0474
13311-84-7,furin,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0.9972,0.9896,0.9977,0.995,0.1704,0.0628
28657-80-9,furin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,0.2304,0.7366,0.6612,0.9315,0.4735,0.0855
55268-74-1,furin,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1,0.4268,0.8226,0.9841,0.8005,0.9002,0.7722
16676-29-2,furin,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[N@@H+]3CC2CC2)[C@H]1O5,0.2839,0.6306,0.1188,0.2527,0.6833,0.2168
5633-20-5,furin,CC[NH+](CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,0.6794,0.3106,0.7321,0.1579,0.9642,0.0846
51-21-8,furin,O=c1[n-]cc(F)c(=O)[nH]1,0.834,0.7853,0.5241,0.4709,0.5783,0.1203
147526-32-7,furin,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,0.6375,0.2402,0.1489,0.4556,0.3034,0.8857
7279-75-6,furin,CC[C@@H]([NH2+]C(C)C)[C@@H](O)c1ccc(O)c(O)c1,0.8717,0.4188,0.8924,0.7826,0.3423,0.2153
96036-03-2,furin,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,0.4223,0.2775,0.1061,0.4674,0.5824,0.5421
220620-09-7,furin,CN(C)c1cc(NC(=O)C[NH2+]C(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.3032,0.0665,0.086,0.0132,0.6345,0.8789
167221-71-8,furin,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl,0.6894,0.2172,0.1959,0.5303,0.0816,0.2861
100299-08-9,furin,Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12,0.9778,0.9757,0.9415,0.9588,0.4279,0.3292
70288-86-7,furin,CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0.9906,0.5518,0.6433,0.9459,0.405,0.623
23651-95-8,furin,[NH3+][C@H](C(=O)[O-])[C@H](O)c1ccc(O)c(O)c1,0.9374,0.1256,0.9545,0.7922,0.7289,0.2894
81131-70-6,furin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,0.5262,0.0455,0.6189,0.2528,0.1742,0.3514
141-90-2,furin,O=c1cc[nH]c(=S)[nH]1,0.0655,0.1623,0.3236,0.0292,0.8058,0.1626
405165-61-9,furin,[NH3+][C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.6108,0.626,0.9403,0.8283,0.1007,0.0394
19387-91-8,furin,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0.1331,0.0251,0.0189,0.0304,0.8478,0.4688
26159-34-2,furin,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1,0.2884,0.6718,0.1733,0.1214,0.4964,0.2297
19171-19-8,furin,Nc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O,0.6676,0.3694,0.2002,0.2434,0.632,0.8471
34552-83-5,furin,CN(C)C(=O)C(CC[N@H+]1CC[C@](O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,0.7429,0.7698,0.18,0.4983,0.8107,0.8802
103177-37-3,furin,O=C(Nc1cccc2c(=O)cc(-c3nnn[n-]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,0.9742,0.9883,0.9319,0.9963,0.2654,0.6699
60-56-0,furin,Cn1cc[nH]c1=S,0.992,0.9301,0.9645,0.997,0.9949,0.9756
52-01-7,furin,CC(=O)S[C@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,0.5395,0.5931,0.7647,0.8152,0.6906,0.7089
67-48-1,furin,C[N+](C)(C)CCO,0.7575,0.743,0.5863,0.6706,0.8128,0.381
55-06-1,furin,[NH3+][C@@H](Cc1cc(I)c(Oc2ccc([O-])c(I)c2)c(I)c1)C(=O)[O-],0.9009,0.9488,0.3217,0.9199,0.2799,0.5855
23964-57-0,furin,CCC[NH2+][C@H](C)C(=O)Nc1c(C)csc1C(=O)OC,0.999,0.8285,0.963,0.7518,0.4763,0.6517
19767-45-4,furin,O=S(=O)([O-])CCS,0.2369,0.0175,0.2909,0.2499,0.2291,0.3905
7681-93-8,furin,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)[O-],0.6143,0.9669,0.1627,0.691,0.0577,0.1658
51333-22-3,furin,CCC[C@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.6544,0.4123,0.4074,0.3801,0.7375,0.8038
78110-38-0,furin,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c2csc(N)n2)C(=O)N1S(=O)(=O)[O-],0.0944,0.7637,0.811,0.3747,0.8651,0.7064
1156-19-0,furin,Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CCCCCC2)cc1,0.3675,0.4949,0.1309,0.1739,0.2367,0.7334
83-43-2,furin,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,0.242,0.1508,0.41,0.4924,0.127,0.5034
55-98-1,furin,CS(=O)(=O)OCCCCOS(C)(=O)=O,0.045,0.3868,0.2734,0.6387,0.3209,0.3535
127-69-5,furin,Cc1noc([N-]S(=O)(=O)c2ccc(N)cc2)c1C,0.344,0.1117,0.4007,0.3125,0.2207,0.4323
88889-14-9,furin,CCC(=O)O[C@H](O[P@@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)[O-])C(C)C,0.8453,0.7972,0.7201,0.9825,0.3506,0.6753
138402-11-6,furin,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.1561,0.1754,0.8798,0.913,0.5372,0.5053
159351-69-6,furin,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0.9747,0.6491,0.7466,0.9234,0.0307,0.5481
57-83-0,furin,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.6001,0.6025,0.9425,0.6965,0.9411,0.789
55079-83-9,furin,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)[O-])c(C)c1C,0.7471,0.5239,0.4667,0.4317,0.926,0.4756
5451-09-2,furin,[NH3+]CC(=O)CCC(=O)[O-],0.7178,0.4809,0.9376,0.8762,0.148,0.1169
645-05-6,furin,CN(C)c1nc(N(C)C)[nH+]c(N(C)C)n1,0.9905,0.9657,0.9707,0.9768,0.0095,0.0102
91832-40-5,furin,C=CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,0.649,0.6429,0.019,0.1978,0.7955,0.5586
2668-66-8,furin,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,0.7679,0.8515,0.9056,0.7809,0.8624,0.9117
153559-49-0,furin,C=C(c1ccc(C(=O)[O-])cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0.7148,0.7022,0.9547,0.8365,0.3566,0.9584
603-50-9,furin,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0.9756,0.9511,0.9897,0.9084,0.193,0.3085
69388-84-7,furin,CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,0.0149,0.0274,0.1172,0.2805,0.6194,0.9037
159811-51-5,furin,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0.4866,0.5772,0.3969,0.5029,0.5426,0.6924
638-94-8,furin,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.8712,0.6271,0.5467,0.1288,0.1163,0.7609
211915-06-9,furin,CCCCCCOC(=O)N/N=C/c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,0.8705,0.7116,0.0395,0.11,0.3823,0.6702
1177-87-3,furin,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.7317,0.9399,0.1169,0.3135,0.3453,0.8079
1115-70-4,furin,CN(C)C(=[NH2+])N=C(N)N,0.7625,0.9893,0.8516,0.9561,0.5966,0.2273
144689-63-4,furin,CCCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.8992,0.9681,0.0371,0.0217,0.1032,0.6192
882-09-7,furin,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-],0.0756,0.031,0.1789,0.276,0.1054,0.0784
139481-59-7,furin,CCOc1[nH+]c2cccc(C(=O)[O-])c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.9076,0.9415,0.5758,0.9411,0.42,0.9219
723-46-6,furin,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)no1,0.4981,0.2497,0.564,0.3684,0.4687,0.4645
57-66-9,furin,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,0.0625,0.3054,0.9158,0.8652,0.3083,0.7937
1069-66-5,furin,CCCC(CCC)C(=O)[O-],0.9317,0.9242,0.1753,0.4677,0.2171,0.6881
15307-79-6,furin,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,0.025,0.015,0.4254,0.1934,0.472,0.7389
60-32-2,furin,[NH3+]CCCCCC(=O)[O-],0.1418,0.0454,0.7231,0.8947,0.3652,0.1573
13647-35-3,furin,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=O)[C@@H](C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,0.6221,0.8534,0.1777,0.21,0.5227,0.3303
29094-61-9,furin,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0.2029,0.3287,0.9792,0.925,0.7305,0.3633
98319-26-7,furin,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0.9962,0.9812,0.5576,0.7241,0.5511,0.9323
23593-75-1,furin,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1cc[nH+]c1,0.6571,0.3526,0.9782,0.4988,0.7641,0.8164
1508-76-5,furin,O[C@@](CC[NH+]1CCCC1)(c1ccccc1)C1CCCCC1,0.9139,0.771,0.1932,0.1342,0.7493,0.4163
6080-58-6,furin,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0.2673,0.9009,0.532,0.2273,0.6111,0.7098
68-35-9,furin,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1,0.3317,0.1163,0.9395,0.5399,0.0315,0.3063
23674-86-4,furin,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.7867,0.7379,0.3165,0.4387,0.0176,0.066
1953-02-2,furin,C[C@@H](S)C(=O)NCC(=O)[O-],0.0751,0.0172,0.1016,0.0243,0.3325,0.7808
356-12-7,furin,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0.3606,0.3936,0.319,0.5636,0.8307,0.3511
624-49-7,furin,COC(=O)/C=C/C(=O)OC,0.9748,0.7155,0.3106,0.5435,0.784,0.4439
651-06-9,furin,COc1cnc([N-]S(=O)(=O)c2ccc(N)cc2)nc1,0.076,0.1992,0.6073,0.3486,0.0796,0.2961
127-56-0,furin,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,0.6323,0.4343,0.817,0.8257,0.9812,0.9407
144-83-2,furin,Nc1ccc(S(=O)(=O)/N=c2/cccc[nH]2)cc1,0.7036,0.5227,0.6404,0.3786,0.2094,0.2562
127-79-7,furin,Cc1ccnc([N-]S(=O)(=O)c2ccc(N)cc2)n1,0.3406,0.7071,0.4453,0.3721,0.2188,0.0978
149647-78-9,furin,O=C(CCCCCCC(=O)Nc1ccccc1)NO,0.3374,0.7826,0.0872,0.4374,0.4743,0.2422
144-82-1,furin,Cc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,0.9783,0.7853,0.9711,0.4969,0.0456,0.146
595-33-5,furin,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.2015,0.3423,0.629,0.9819,0.634,0.7169
19356-17-3,furin,C=C1CC[C@@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,0.4447,0.4907,0.4764,0.5578,0.0087,0.1588
67392-87-4,furin,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,0.931,0.9392,0.753,0.603,0.7816,0.8493
80474-14-2,furin,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.967,0.4528,0.448,0.3533,0.6846,0.927
71-58-9,furin,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.1048,0.3794,0.0083,0.1015,0.839,0.2959
2447-57-6,furin,COc1nc[nH]/c(=N\S(=O)(=O)c2ccc(N)cc2)c1OC,0.1772,0.3437,0.2611,0.3223,0.3527,0.0629
635728-49-3,furin,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.9832,0.8517,0.9696,0.958,0.1523,0.1861
101152-94-7,furin,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1C[NH3+],0.478,0.4622,0.7046,0.7102,0.9728,0.8065
124937-52-6,furin,Cc1ccc(O)c([C@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)c1,0.7139,0.8448,0.8015,0.9587,0.265,0.0083
113852-37-2,furin,Nc1ccn(C[C@@H](CO)OCP(=O)([O-])[O-])c(=O)n1,0.1655,0.1465,0.3825,0.3344,0.6958,0.0902
51481-61-9,furin,CN/C(=N\C#N)NCCSCc1nc[nH]c1C,0.7854,0.759,0.8795,0.8399,0.3487,0.0321
177036-94-1,furin,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)[O-],0.327,0.7562,0.5253,0.5628,0.6697,0.8308
80-50-2,furin,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,0.4155,0.0461,0.0548,0.0558,0.0396,0.766
434-13-9,furin,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.2642,0.1648,0.9882,0.9981,0.6408,0.9693
637-58-1,furin,CCCCOc1ccc(OCCCN2CCOCC2)cc1,0.7054,0.8179,0.9865,0.9978,0.9946,0.9287
107724-20-9,furin,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,0.0863,0.4563,0.8174,0.9647,0.6063,0.3724
137862-53-4,furin,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1)[C@H](C(=O)[O-])C(C)C,0.9844,0.4011,0.8865,0.7892,0.2175,0.2543
302-79-4,furin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)[O-])C(C)(C)CCC1,0.735,0.9909,0.337,0.7233,0.0774,0.3106
71963-77-4,furin,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,0.999,0.9851,0.9986,0.999,0.7102,0.8353
19774-82-4,furin,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0.7299,0.7157,0.4946,0.6896,0.0667,0.2007
145040-37-5,furin,CCOc1nc2cccc(C(=O)O[C@@H](C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.7494,0.8276,0.9964,0.998,0.7706,0.4167
173334-58-2,furin,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0.9608,0.999,0.7799,0.9508,0.1267,0.2306
80621-81-4,furin,CO[C@@H]1/C=C\O[C@]2(C)Oc3c(C)c([O-])c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C/[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](OC(C)=O)[C@@H]1C,0.9062,0.7285,0.8494,0.7792,0.6481,0.2143
