compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
120511-73-1,pa_h3n2,1,0,0.5847,0.4125,0.2101,0.277,0.6322,0.2273,0.0,0.0,0.0,0.0,0.0,0.0
122111-03-9,pa_h3n2,1,0,0.956,0.9907,0.9853,0.8422,0.5035,0.2972,0.0,0.0,0.0,0.0,0.0,0.0
122320-73-4,pa_h3n2,1,0,0.2685,0.2089,0.5021,0.5847,0.5065,0.1209,0.0,0.0,0.0,0.0,0.0,0.0
122647-32-9,pa_h3n2,1,0,0.7568,0.7754,0.459,0.9872,0.04,0.3797,0.0,0.0,0.0,0.0,0.0,0.0
122883-93-6,pa_h3n2,1,0,0.838,0.9502,0.8699,0.9814,0.9879,0.6688,0.0,0.0,0.0,0.0,0.0,0.0
1247-42-3,pa_h3n2,1,0,0.5701,0.2607,0.9769,0.9813,0.999,0.999,0.0,0.0,0.0,0.0,0.0,0.0
124750-99-8,pa_h3n2,1,0,0.2617,0.3206,0.5511,0.8856,0.0846,0.452,0.0,0.0,0.0,0.0,0.0,0.0
124937-52-6,pa_h3n2,1,0,0.283,0.0157,0.5197,0.486,0.8397,0.5008,0.0,0.0,0.0,0.0,0.0,0.0
125-84-8,pa_h3n2,1,0,0.3903,0.5858,0.9862,0.8607,0.4806,0.4066,0.0,0.0,0.0,0.0,0.0,0.0
1263-89-4,pa_h3n2,1,0,0.7331,0.4223,0.3467,0.4498,0.0573,0.1069,0.0,0.0,0.0,0.0,0.0,0.0
1264-62-6,pa_h3n2,1,0,0.5479,0.9432,0.7355,0.9025,0.001,0.3137,0.0,0.0,0.0,0.0,0.0,0.0
127-07-1,pa_h3n2,1,0,0.9887,0.9686,0.4517,0.5397,0.5247,0.1495,0.0,0.0,0.0,0.0,0.0,0.0
127-56-0,pa_h3n2,1,0,0.4206,0.871,0.9931,0.9025,0.3441,0.9532,0.0,0.0,0.0,0.0,0.0,0.0
127-79-7,pa_h3n2,1,0,0.984,0.366,0.9164,0.8192,0.7629,0.3732,0.0,0.0,0.0,0.0,0.0,0.0
128794-94-5,pa_h3n2,1,0,0.044,0.2817,0.4803,0.3695,0.5579,0.4439,0.0,0.0,0.0,0.0,0.0,0.0
129101-54-8,pa_h3n2,1,0,0.8308,0.8168,0.9,0.8376,0.9682,0.5649,0.0,0.0,0.0,0.0,0.0,0.0
129497-78-5,pa_h3n2,1,0,0.1389,0.658,0.032,0.3272,0.1171,0.6134,0.0,0.0,0.0,0.0,0.0,0.0
129722-12-9,pa_h3n2,1,0,0.9858,0.8147,0.9215,0.5609,0.3625,0.2824,0.0,0.0,0.0,0.0,0.0,0.0
130-61-0,pa_h3n2,1,0,0.2543,0.3816,0.0563,0.0379,0.1478,0.0166,0.0,0.0,0.0,0.0,0.0,0.0
13010-47-4,pa_h3n2,1,0,0.5139,0.7331,0.7555,0.4486,0.4035,0.7528,0.0,0.0,0.0,0.0,0.0,0.0
132-17-2,pa_h3n2,1,0,0.5887,0.3049,0.2825,0.1352,0.2798,0.5053,0.0,0.0,0.0,0.0,0.0,0.0
132-18-3,pa_h3n2,1,0,0.8519,0.7324,0.5823,0.6865,0.2759,0.1463,0.0,0.0,0.0,0.0,0.0,0.0
132539-06-1,pa_h3n2,1,0,0.3471,0.8954,0.2193,0.3621,0.1829,0.9604,0.0,0.0,0.0,0.0,0.0,0.0
13292-46-1,pa_h3n2,1,0,0.79,0.2389,0.4052,0.1975,0.0136,0.0924,0.0,0.0,0.0,0.0,0.0,0.0
133-67-5,pa_h3n2,1,0,0.4004,0.8071,0.2217,0.3344,0.1935,0.4732,0.0,0.0,0.0,0.0,0.0,0.0
