compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
23256-50-0,furin,NC(=[NH2+])N/N=C/c1c(Cl)cccc1Cl,0.1332,0.1782,0.3484,0.1545,0.846,0.9647,231.01987806809,-0.0092999999999994,76.0,3,1,2,1,1,14,0.0,0.3808007220814716
58-27-5,furin,CC1=CC(=O)c2ccccc2C1=O,0.6889,0.9507,0.7449,0.8855,0.8687,0.281,172.052429496,2.0119,34.14,0,2,0,2,1,13,0.0909090909090909,0.5994834910884169
183320-51-6,furin,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCO)cc23)c1,0.2891,0.1133,0.0386,0.1862,0.5656,0.9623,379.15320615199994,2.7510000000000012,85.73000000000002,2,7,9,3,3,28,0.238095238095238,0.4366814715923838
53716-49-7,furin,C[C@@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.8512,0.6699,0.4474,0.1108,0.3493,0.0746,272.04837985191006,2.8279000000000005,55.919999999999995,1,2,2,3,3,19,0.1333333333333333,0.7798066602926482
54527-84-3,furin,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[N@H+](C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,0.4815,0.6695,0.1179,0.322,0.5928,0.1292,480.21291210009,2.260700000000001,112.21,2,7,9,3,2,35,0.3076923076923077,0.3216533356436632
298-81-7,furin,COc1c2occc2cc2ccc(=O)oc12,0.1862,0.7184,0.288,0.4085,0.2402,0.1805,216.042258736,2.5478000000000005,52.58,0,4,1,3,3,16,0.0833333333333333,0.5863590335117103
51-30-9,furin,CC(C)[NH2+]C[C@H](O)c1ccc(O)c(O)c1,0.9887,0.8688,0.7301,0.8264,0.5018,0.0876,212.12811985609,0.103,77.30000000000001,4,3,4,1,1,15,0.4545454545454545,0.5346782625645278
34381-68-5,furin,CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1,0.1028,0.2799,0.0579,0.0678,0.0355,0.3309,337.21218382808996,1.3393000000000002,92.24,3,4,10,1,1,24,0.5555555555555556,0.5618624951770448
51022-70-9,furin,CC(C)(C)[NH2+]C[C@@H](O)c1ccc(O)c(CO)c1,0.9953,0.8579,0.6288,0.9047,0.3802,0.4424,240.15941998409,0.2798000000000001,77.30000000000001,4,3,4,1,1,17,0.5384615384615384,0.6103090427518448
13492-01-8,furin,[NH3+][C@@H]1C[C@H]1c1ccccc1,0.6102,0.1463,0.2711,0.2658,0.3995,0.8232,134.09642580409,0.7843999999999995,27.64,1,0,1,2,1,10,0.3333333333333333,0.5876903631319248
536-33-4,furin,CCc1cc(C(N)=S)ccn1,0.4106,0.6409,0.9783,0.9924,0.1566,0.2776,166.05646932,1.2782,38.91,1,2,2,1,1,11,0.25,0.6725460532160716
25332-39-2,furin,O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.4197,0.0653,0.6616,0.2033,0.7498,0.829,372.15856445609006,0.9445999999999996,46.98,1,5,5,4,3,26,0.3684210526315789,0.7249345359261311
496775-61-2,furin,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)[O-])c2)c1O,0.9917,0.9184,0.2759,0.3146,0.034,0.0264,441.15682873191,3.230140000000002,117.42,2,7,5,4,3,33,0.12,0.4656399387325317
100643-71-8,furin,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,0.0735,0.033,0.7879,0.6602,0.3827,0.4236,311.13095274009,2.9927,29.5,1,1,0,4,2,22,0.3157894736842105,0.7961111285945959
123318-82-1,furin,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,0.7,0.3177,0.6576,0.6399,0.4622,0.1728,303.053445112,-0.3494000000000002,119.31000000000002,3,8,2,3,2,20,0.5,0.648649936215886
36791-04-5,furin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.1566,0.0062,0.3733,0.1993,0.0106,0.2571,244.080769484,-3.0114999999999994,143.72000000000003,4,8,3,2,1,17,0.625,0.442842031674371
198480-56-7,furin,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCC[NH+]3CCCCCC3)cc2)c2ccc(O)cc12,0.8533,0.907,0.2847,0.4572,0.6403,0.7569,471.26421940009,4.9139200000000045,59.06,3,4,7,5,4,35,0.3333333333333333,0.3588400484832849
201530-41-8,furin,O=C([O-])c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,0.9297,0.4092,0.4904,0.4029,0.7793,0.5803,372.09897950791,2.3760000000000003,111.3,2,7,4,4,4,28,0.0,0.5688769559435355
111406-87-2,furin,C[C@H](c1cc2ccccc2s1)N(O)C(N)=O,0.6095,0.8171,0.6337,0.6378,0.1548,0.3299,236.061948624,2.7321999999999997,66.56,2,3,2,2,2,16,0.1818181818181818,0.621567647628534
2627-69-2,furin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,0.2409,0.2191,0.8541,0.2986,0.0271,0.2952,258.09641954800003,-2.8242999999999996,156.85000000000002,5,8,3,2,1,18,0.5555555555555556,0.3908498923708794
