id,smiles,source
Z4873983517,CC(C)(C)OC(=O)N1CCC([C@@H](F)c2nc(Cn3nccn3)nn2-c2ccnc3cccnc23)CC1,Enamine
Z750881120,Cc1cc(C)[nH]/c(=N/S(=O)(=O)c2ccc(NS(=O)(=O)c3ccc(-c4ccccc4)cc3)cc2)n1,Enamine
Z48964504,Cc1ccc2nc(-c3ccc(NC(=O)C[C@@H]4SC(NC[C@H]5CCCO5)=NC4=O)cc3)sc2c1,Enamine
Z339884698,O=C(Nc1ccc(-c2nccs2)cc1)[C@@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,Enamine
Z134660616,Cc1ccc(-c2nc(CN3C(=O)N[C@](C)(c4cccc(-n5cnnn5)c4)C3=O)cs2)cc1,Enamine
Z275089654,COc1ccc(N2C(=O)CC[C@@H](C(=O)Nc3ccc(-n4cc[nH+]c4)cc3)[C@H]2c2ccccc2OC)cc1,Enamine
Z5024156543,CC(C)(C)OC(=O)Nc1ccn2ncc(C(=O)Nc3ccc(-c4ncn[nH]4)cc3F)c2c1,Enamine
Z1175789903,CC(=O)c1cccc(OCCCC(=O)Nc2ccc(-c3nnc[nH]3)cc2)c1,Enamine
Z4459619142,O=C(Nc1ccc(-c2n[nH]c(-c3cccn4c(Br)cnc34)n2)cc1)c1cccc(C[NH+]2CCS(=O)(=O)CC2)c1,Enamine
Z4445302422,O=C(Nc1ccc(-c2nc(C[C@@H]3CCOC3)n[nH]2)cc1)c1cccc(CN2CCS(=O)(=O)CC2)c1,Enamine
Z423504184,COc1ccc(Nc2ccccc2C(=O)Nc2ccc(-n3ccnc3)nc2)cc1,Enamine
Z109691710,Cc1nc(-c2ccc(NC(=O)c3ccccc3S[C@H]3CCS(=O)(=O)C3)cc2)cs1,Enamine
Z169583524,COc1ccc2c(C)c(CCC(=O)Nc3nc(-c4cccnc4)cs3)c(=O)oc2c1,Enamine
Z4511123495,CC(C)(C)c1n[nH]c(-c2ccc(NC(=O)c3cccc(CN4CCS(=O)(=O)CC4)c3)cc2)n1,Enamine
Z17378873,Cc1nc2sc(C(=O)OCC(=O)c3cc(C)n(Cc4ccccc4)c3C)c(C)c2c(=O)[nH]1,Enamine
Z9061999093,Cc1nccc(-c2ccc(NC(=O)C(=O)N[C@H]3CCC[C@@H](CN(C)C(=O)OC(C)(C)C)C3)cc2)n1,Enamine
Z364545496,CCn1c(CCC(=O)Nc2nc(C)c(-c3ccccc3)s2)[nH+]c2cc(S(=O)(=O)N(C)C)ccc21,Enamine
Z340089390,O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)[C@@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,Enamine
Z46398192,CCOc1ccc(NC(=O)C[N@@H+](C)CC(=O)Nc2ccc(-c3nc4ccc(C)cc4s3)cc2)cc1OCC,Enamine
Z4445302430,O=C(Nc1ccc(-c2n[nH]c([C@H]3CCCN(C(=O)OCC4CC4)C3)n2)cc1)c1cccc(C[NH+]2CCS(=O)(=O)CC2)c1,Enamine
Z56842793,CCOc1ccc([C@H]2N(c3ccc(-c4nc5ccc(C)cc5s4)cc3)C(=O)C2(F)F)cc1,Enamine
Z4501375528,CC(C)(C)OC(=O)N1CC(c2n[nH]c(-c3ccc(NC(=O)c4cccc(C[NH+]5CCS(=O)(=O)CC5)c4)cc3)n2)C1,Enamine
Z235303456,Cc1nn(-c2ccccc2)c(C)c1NC(=O)CNc1ccc(S(=O)(=O)N2[C@@H](C)CCC[C@@H]2C)cc1,Enamine
Z8658305014,N#C[C@]12C[N@H+]([C@@H](C(=O)NC3CC(F)(F)C3)c3cnc(-c4ccccc4)s3)C[C@H]1CS(=O)(=O)C2,Enamine
Z9061998205,Cc1cnn(-c2ccc(S(=O)(=O)N(C)c3ccc(S(=O)(=O)N(C)C)cc3)cc2F)c1,Enamine
Z4445302310,N#CCN1CC[C@H](c2nc(-c3ccc(NC(=O)c4cccc(C[NH+]5CCS(=O)(=O)CC5)c4)cc3)n[nH]2)C1,Enamine
Z4445302295,N#CCN1CC(c2nc(-c3ccc(NC(=O)c4cccc(C[NH+]5CCS(=O)(=O)CC5)c4)cc3)n[nH]2)C1,Enamine
Z140977878,COc1ccc(C(=O)NCC(=O)Nc2ccc(-n3cnc4ccccc43)cc2)cc1OC,Enamine
Z8899297174,COC(=O)CC[C@@H]1CC[C@@H]2C(=O)N(c3ccc(-c4ccccc4)cc3)C(=O)N12,Enamine
Z56943172,Cc1ccc2nc(-c3ccc(NC(=O)COC(=O)Cc4ccc(S(=O)(=O)N5CCOCC5)s4)cc3)sc2c1,Enamine
Z28551050,O=C(Nc1ccc(-c2nccs2)cc1)[C@@H]1CC(=O)N(c2ccc3c(c2)OCCO3)C1,Enamine
Z4445302438,O=C(Nc1ccc(-c2nc(-c3ccccc3F)n[nH]2)cc1)c1cccc(CN2CCS(=O)(=O)CC2)c1,Enamine
Z507399788,O=C(CCc1nnc(-c2ccsc2)o1)NCc1ccc(-n2cncn2)cc1,Enamine
Z8342511538,Nc1nc([C@H]2CCN(C(=O)[C@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)C2)n[nH]1,Enamine
Z2143054669,CC(C)N(CCOCCO)C(=O)Cc1csc(-c2ccccn2)n1,Enamine
Z2227147910,O=C(Nc1cccc2[nH]c(=O)[nH]c12)[C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1,Enamine
Z2234635168,O=S(=O)(Nc1ccc(-c2nncs2)cc1)c1ccc(-c2ccccc2)cc1,Enamine
Z1680131467,COC(=O)c1cn([C@H]2CCN(C(=O)Cc3c(C)nn(-c4ccc(F)cc4F)c3C)C2)nn1,Enamine
Z1818383884,N#CCCn1ccc(NC(=O)Nc2ccc(-c3cc[nH]n3)cc2)n1,Enamine
