id,smiles,source
Z3810944027,COc1ccc(-c2cn3cc(N)nc3cn2)cc1C[NH+](C)C,Enamine
Z1918371735,CSC1(C[NH2+]Cc2cccc(-c3cccnc3)c2)CC1,Enamine
Z1904763042,C[C@@H]([NH2+]Cc1cccc(-c2cccnc2)c1)c1ccc(N2CCNC2=O)cc1,Enamine
Z1757878354,O=C(NC1CC1)c1noc([C@H]2CCC[N@@H+]2Cc2cccc(-c3cccnc3)c2)n1,Enamine
Z2177234393,O=C(NC[C@@H]1CCC[N@@H+](Cc2cccc(-c3cccnc3)c2)C1)C(F)(F)F,Enamine
Z2188448014,C#C[C@H]([NH2+]Cc1cccc(-c2cccnc2)c1)c1ccc(F)cc1,Enamine
Z2385397860,O[C@@H]1C[C@H](c2nc[nH]n2)C[C@@H]1C[NH2+]Cc1cccc(-c2cccnc2)c1,Enamine
Z3686126142,O[C@@H]1C[C@@H](Cn2ccnc2)C[C@H]1[NH2+]Cc1cccc(-c2cccnc2)c1,Enamine
Z1626135329,CCNS(=O)(=O)[C@H]1CC[N@@H+](Cc2cccc(-c3cccnc3)c2)C1,Enamine
Z8989654527,O=S1(=O)C[C@H]2CC[C@@H](C1)[N@@H+]2Cc1cccc(-c2cccnc2)c1,Enamine
Z1799337825,OCc1ccccc1[C@H]1CC[N@@H+](Cc2cccc(-c3cccnc3)c2)CC1,Enamine
Z1569191624,CS(=O)(=O)N[C@H]1CC[N@H+](Cc2cccc(-c3cccnc3)c2)C1,Enamine
Z1454482264,N#Cc1ccc(C[NH2+]Cc2cccc(-c3cccnc3)c2)cc1,Enamine
Z2054521070,C[C@@]1(O)CCOC[C@@H]1[C@H]1CCC[N@@H+]1Cc1cccc(-c2cccnc2)c1,Enamine
Z1567412435,O=C1C[N@@H+](Cc2cccc(-c3cccnc3)c2)[C@H]2CCCC[C@@H]2N1,Enamine
Z1454560169,O[C@H](C[NH2+]Cc1cccc(-c2cccnc2)c1)c1ccsc1,Enamine
Z1757934718,CCn1cc[nH+]c1[C@H]1OCC[C@@H]1[NH2+]Cc1cccc(-c2cccnc2)c1,Enamine
Z8838178368,c1ccc(C[C@H]2CNC[C@H]2[NH2+]Cc2cccc(-c3cccnc3)c2)cc1,Enamine
Z7322660195,CNC(=O)[C@H](Cc1ccccc1)[NH2+]Cc1cccc(-c2cccnc2)c1,Enamine
Z732839744,COc1ccc(-c2cccnc2)cc1C[NH3+],Enamine
Z2722885939,Cc1cn(-c2cncc(-c3cccc(C[N@H+]4CCC[C@@H]4C)c3)c2)c[nH+]1,Enamine
Z2905437593,FC(F)Oc1cncc(-c2cccc(C[NH+]3CCOCC3)c2)c1,Enamine
Z7983173702,COc1cncc(-c2cc(C[NH3+])cc(OC)c2)c1,Enamine
Z7742842103,C[C@H]([NH2+]Cc1cccc(-c2ccc(F)cc2)n1)c1ccc2[nH]c(=O)[nH]c2c1,Enamine
Z3790593467,O=C([O-])[C@H]1C[N@H+](Cc2cccc(-c3ccc(F)cc3)n2)CC[C@H]1C(=O)[O-],Enamine
Z3804361325,CN1CC[N@H+](Cc2cccc(-c3ccc(F)cc3)n2)C[C@H]1c1ncc[nH]1,Enamine
Z4133873913,CC[C@H](C(=O)[O-])[N@H+](C)Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z6961608286,C[C@]([NH2+]Cc1cccc(-c2ccc(F)cc2)n1)(C(=O)[O-])c1ccccc1,Enamine
Z3999926317,CO[C@H](C(=O)[O-])[C@H]1C[N@H+](Cc2cccc(-c3ccc(F)cc3)n2)C1,Enamine
Z3838621987,C[C@@H](O)[C@@H]([NH2+]Cc1cccc(-c2ccc(F)cc2)n1)C(=O)[O-],Enamine
Z3806782866,O[C@@H]1C[C@@H](Cn2ccnc2)C[C@H]1[NH2+]Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z8449003298,C[C@]1([NH2+]Cc2cccc(-c3ccc(F)cc3)n2)CCC[C@H]1C(=O)[O-],Enamine
Z9023929654,O=C([O-])[C@H]1C=CC[N@@H+](Cc2cccc(-c3ccc(F)cc3)n2)C1,Enamine
Z8781343056,C[C@@H]1CC[C@H](C(=O)[O-])C[N@H+]1Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z8771209532,CC1(C)C[N@H+](Cc2cccc(-c3ccc(F)cc3)n2)[C@H]1C(=O)[O-],Enamine
Z3790624497,C[C@@H]1[C@@H](C(=O)[O-])CCC[N@H+]1Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z3790643965,O=C([O-])[C@H](O)[C@H]1CC[N@H+](Cc2cccc(-c3ccc(F)cc3)n2)CC1,Enamine
Z3802193483,Cc1c([C@H](C)[NH2+]Cc2cccc(-c3ccc(F)cc3)n2)cnn1C,Enamine
Z8110795922,O[C@]1(c2ccccc2Cl)CC[N@H+](Cc2cccc(-c3ccc(F)cc3)n2)CC1,Enamine
Z8767394398,COC[C@]1(C(=O)[O-])C[N@H+](Cc2cccc(-c3ccc(F)cc3)n2)C1,Enamine
Z8775894771,O=C([O-])[C@@H]1CC2(CC2)C[N@H+]1Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z3790674252,O=C([O-])[C@H]1CO[C@H]2C[N@@H+](Cc3cccc(-c4ccc(F)cc4)n3)C[C@H]21,Enamine
Z9126931751,Nc1cccc2c1CCC[N@H+]2Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z3790646356,O=C([O-])C[C@@H]1CC2(CCC2)C[N@H+]1Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z8801578315,O=C([O-])[C@H]1CC(F)(F)C[N@H+]1Cc1cccc(-c2ccc(F)cc2)n1,Enamine
Z9267899337,O=C([O-])[C@@H](F)C[C@H]1CC[N@@H+]1Cc1cccc(-c2ccccc2)n1,Enamine
Z5012370837,[NH3+]Cc1cccc(-c2ccccc2)n1,Enamine
Z8821253020,C[C@]1(C[NH2+]Cc2cccc(-c3ccccc3)n2)CC=CCO1,Enamine
Z8975651670,OC[C@@]12[C@@H]3CC[C@@H](C[C@@H]31)[C@H]2[NH2+]Cc1cccc(-c2ccccc2)n1,Enamine
Z4075646885,C[NH2+]Cc1cccc(-c2cccc(C(N)=O)c2)n1,Enamine
Z9143590250,C[NH2+]Cc1cccc(-c2ccc(C(F)(F)F)cc2CO)n1,Enamine
Z7060063416,Cn1ncc2ncc(-c3ccc(F)c(C[NH3+])c3)cc21,Enamine
Z2905437793,FC(F)Oc1cncc(-c2cccc([C@@H]3CCC[NH2+]3)c2)c1,Enamine
Z7690973710,[NH3+]Cc1cccc(-c2cccc(C(=O)[O-])c2)c1Cl,Enamine
Z6271721682,C[C@H]([NH3+])c1cc(-c2ccc3nsnc3c2)ccc1F,Enamine
Z8630112613,COCCCNC(=O)[C@H](c1cccc(-c2ccc(C#N)nc2)c1)[N@H+]1CC[C@@]2(C)[C@H](C1)C2(Cl)Cl,Enamine
Z9154286783,C[NH+](C)Cc1cccc(-c2cnc(N)c(C(N)=O)c2)c1,Enamine
Z732839812,c1cncc(-c2cccc(C[NH2+]C3CC3)c2)c1,Enamine
Z1509705164,Nc1ccc(-c2cccc(C[NH3+])c2)cn1,Enamine
Z2723084403,CC(=O)N1CC[NH+](Cc2cccc(-c3cncc(-n4c[nH+]c(C)c4)c3)c2)CC1,Enamine
Z1569160167,c1cncc(-c2cccc(C[N@H+]3CC[C@H]4OCCC[C@@H]4C3)c2)c1,Enamine
